name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Jean Giraud,Nogent-sur-Marne,FRANCE,1938,Male,COMIC ARTIST,DESIGN,ARTS,2485307,53392.15879,1094333,82843.56667,,
Harriet Beecher Stowe,Litchfield,UNITED STATES,1811,Female,WRITER,LANGUAGE,HUMANITIES,3258620,14086.15754,2483361,62665.76923,,
Ethan Hawke,Austin,UNITED STATES,1970,Male,ACTOR,FILM AND THEATRE,ARTS,10854797,63215.32926,6350442,246699.9318,,
Alexis de Tocqueville,Paris,FRANCE,1805,Male,HISTORIAN,HISTORY,HUMANITIES,4369107,14805.75946,2104953,94980.58696,,
Bob Hoskins,Bury St Edmunds,UNITED KINGDOM,1942,Male,ACTOR,FILM AND THEATRE,ARTS,3682721,19217.91605,2438615,115085.0313,,
Cassander,Other,Unknown,-350,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,972636,2875.162918,403188,28606.94118,,
Philip III of Macedon,Other,Unknown,-359,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,544634,1711.686103,234218,19451.21429,,
Mickey Rooney,New York,UNITED STATES,1920,Male,ACTOR,FILM AND THEATRE,ARTS,7372335,37772.94693,5836278,237817.2581,,
Roy Scheider,Orange,United States,1932,Male,ACTOR,FILM AND THEATRE,ARTS,4130275,37044.00594,2625280,121478.6765,,
Pierre Puvis de Chavannes,Lyon,FRANCE,1824,Male,ARTIST,FINE ARTS,ARTS,594387,1564.381183,153268,22861.03846,,
Grand Duke Michael Alexandrovich of Russia,Nevsky Prospect,Russia,1878,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,1179744,6250.667849,460620,40680.82759,,
Leopold Stokowski,London,UNITED KINGDOM,1882,Male,CONDUCTOR,MUSIC,ARTS,1085847,3045.464437,697260,40216.55556,,
Paul Johann Ludwig von Heyse,Berlin,GERMANY,1830,Male,WRITER,LANGUAGE,HUMANITIES,530334,1750.667712,51657,8694,,
John Hurt,Chesterfield,UNITED KINGDOM,1940,Male,ACTOR,FILM AND THEATRE,ARTS,8169531,63064.0552,5402051,220798.1351,,
Jean Henri Fabre,Saint-Léons,France,1823,Male,BIOLOGIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,507309,2400.685466,50677,18789.22222,,
