full_name,nickname,gender,type,state,senate_class,party,,,,,,,,,,,,,,,,,,,,,,,,,
Martha Roby,,F,rep,AL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
David P. Roe,Phil,M,rep,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Rogers,Hal,M,rep,KY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Rogers,,M,rep,AL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lucille Roybal-Allard,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,,M,sen,FL,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
C. A. Dutch Ruppersberger,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby L. Rush,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Ryan,,M,rep,OH,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Kilili Camacho Sablan,,M,rep,MP,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John P. Sarbanes,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Scalise,,M,rep,LA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Janice D. Schakowsky,Jan,F,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Jan Schakowsky,
Adam B. Schiff,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Kurt Schrader,,M,rep,OR,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Charles E. Schumer,Chuck,M,sen,NY,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
David Schweikert,,M,rep,AZ,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Scott,,M,rep,GA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,Austin Scott (politician),
David Scott,,M,rep,GA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert C. ""Bobby"" Scott",Bobby,M,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Bobby Scott (politician),
Tim Scott,,M,sen,SC,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"F. James Sensenbrenner, Jr.",,M,rep,WI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
José E. Serrano,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Terri A. Sewell,,F,rep,AL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Richard C. Shelby,,M,sen,AL,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Sherman,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John Shimkus,,M,rep,IL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Michael K. Simpson,Mike,M,rep,ID,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
